#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1675741828   608      608  3156295      688422397      0  63 0.0 20325.7 4437987.0 35503896.1 14635.1 14635.1 
1675741829   640      640  3156327      688429383      0  66 32.0 32.0 6979.0 55832.2 702580.9 702580.9 
1675741830   704      704  3187819      695312487      0  70 64.0 31492.0 6883104.0 55064832.0 50725.4 50725.4 
1675741831   704      704  3223405      703090511      0  70 0.0 35586.0 7778024.0 62224192.0 19813.9 19813.9 
1675741832   704      704  3263868      711928318      0  70 0.0 40463.0 8837807.0 70702456.0 17401.4 17401.4 
1675741833   704      704  3305597      721041340      0  70 0.0 41687.3 9103918.1 72831344.7 16886.8 16886.8 
1675741834   704      704  3338453      728222521      0  70 0.0 32856.0 7181181.0 57449448.0 21344.0 21344.0 
1675741835   704      704  3372963      735765338      0  70 0.0 34510.0 7542817.0 60342536.0 20458.4 20458.4 
1675741836   704      704  3413062      744524263      0  70 0.0 40099.0 8758925.0 70071400.0 17558.6 17558.6 
1675741837   704      704  3454818      753642631      0  70 0.0 41714.3 9109258.7 72874069.9 16874.0 16874.0 
1675741838   704      704  3495329      762490237      0  70 0.0 40511.0 8847606.0 70780848.0 17353.8 17353.8 
1675741839   704      704  3532355      770580564      0  70 0.0 37026.0 8090327.0 64722616.0 19031.8 19031.8 
1675741840   736      736  3574715      779830445      0  73 32.0 42360.0 9249881.0 73999048.0 16949.0 16949.0 
1675741841   768      768  3616978      789061758      0  76 32.0 42220.8 9222090.9 73776727.3 17804.0 17804.0 
1675741842   800      800  3658254      798080152      0  80 32.0 41276.0 9018394.0 72147152.0 18974.4 18974.4 
1675741843   800      800  3691942      805448551      0  80 0.0 33688.0 7368399.0 58947192.0 23772.3 23772.3 
1675741844   800      800  3731089      814008290      0  80 0.0 39147.0 8559739.0 68477912.0 20457.7 20457.7 
1675741845   800      800  3772402      823037877      0  80 0.0 41271.7 9020566.4 72164531.5 19381.2 19381.2 
1675741846   800      800  3814365      832209458      0  80 0.0 41963.0 9171581.0 73372648.0 19054.1 19054.1 
1675741847   800      800  3851494      840327779      0  80 0.0 37129.0 8118321.0 64946568.0 21510.8 21510.8 
1675741848   800      800  3889878      848720155      0  80 0.0 38384.0 8392376.0 67139008.0 20869.3 20869.3 
1675741849   800      800  3931112      857733502      0  80 0.0 41192.8 9004342.7 72034741.3 19428.2 19428.2 
1675741850   800      800  3973083      866906118      0  80 0.0 41971.0 9172616.0 73380928.0 19055.4 19055.4 
