#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
86 800 29050 2863417 624650819 0 80 389.0 36655.0 8015839.0 64126712.0 21449.7 21450.4
87 800 29382 2899881 632625473 0 80 332.0 36464.0 7974654.0 63797232.0 21944.4 21945.3
88 800 29788 2936791 640697110 0 80 406.0 36910.0 8071637.0 64573096.0 21587.9 21588.9
89 800 30086 2969018 647746843 0 80 297.7 32194.8 7042690.3 56341522.5 24915.0 24916.3
90 800 30475 3006578 655961133 0 80 389.0 37560.0 8214290.0 65714320.0 21303.5 21304.3
91 800 30837 3043898 664123473 0 80 362.0 37320.0 8162340.0 65298720.0 21443.5 21444.3
92 800 31195 3079246 671852137 0 80 358.0 35348.0 7728664.0 61829312.0 22498.7 22499.8
93 800 31543 3112806 679192475 0 80 347.7 33526.5 7333005.0 58664040.0 23956.5 23957.3
94 800 31901 3149770 687277001 0 80 358.0 36964.0 8084526.0 64676208.0 21650.0 21651.0
95 800 32274 3186760 695364303 0 80 373.0 36990.0 8087302.0 64698416.0 21588.3 21589.1
96 832 32635 3220214 702681278 0 83 361.0 33454.0 7316975.0 58535800.0 24470.4 24471.3
97 864 32994 3255450 710390045 0 86 358.6 35200.8 7701065.9 61608527.5 24274.8 24275.5
98 896 33374 3292456 718486479 0 90 380.0 37006.0 8096434.0 64771472.0 23984.0 23984.8
99 896 33744 3329418 726572610 0 90 370.0 36962.0 8086131.0 64689048.0 24227.9 24228.8
100 896 34071 3361737 733644187 0 90 327.0 32319.0 7071577.0 56572616.0 27617.3 27618.5
101 896 34408 3395628 741060001 0 90 336.7 33857.1 7408405.6 59267244.8 26511.8 26512.9
102 896 34655 3420929 746593223 0 90 247.0 25301.0 5533222.0 44265776.0 35280.4 35281.2
103 896 34876 3442125 751229952 0 90 221.0 21196.0 4636729.0 37093832.0 41317.4 41318.1
104 896 35084 3463548 755915754 0 90 208.0 21423.0 4685802.0 37486416.0 41785.5 41786.7
105 896 35296 3483871 760360871 0 90 211.8 20302.7 4440676.3 35525410.6 44945.0 44945.8
106 896 35527 3507402 765508925 0 90 231.0 23531.0 5148054.0 41184432.0 37687.3 37688.0
107 896 35735 3527797 769969988 0 90 208.0 20395.0 4461063.0 35688504.0 44211.5 44212.1
108 928 35952 3546584 774080458 0 93 217.0 18787.0 4110470.0 32883760.0 49090.9 49091.9
109 960 36189 3567868 778738277 0 96 236.8 21262.7 4653165.8 37225326.7 44505.0 44505.7
110 1024 36420 3587542 783044360 0 100 231.0 19674.0 4306083.0 34448664.0 50357.9 50357.3
111 1024 36593 3607740 787464811 0 100 172.8 20177.8 4416035.0 35328279.7 50259.1 50260.8
112 1024 36777 3625953 791450617 0 100 183.8 18194.8 3981824.2 31854593.4 55396.3 55397.0
113 1024 36967 3645444 795716889 0 100 189.8 19471.5 4262010.0 34096079.9 53457.4 53458.1
114 1024 37168 3663967 799770086 0 100 200.8 18504.5 4049147.9 32393182.8 55429.7 55430.4
115 1024 37364 3684735 804315745 0 100 195.8 20747.3 4541117.9 36328943.1 49681.1 49682.0
116 1024 37559 3705923 808954171 0 100 195.0 21188.0 4638426.0 37107408.0 48246.9 48247.6
117 1024 37732 3721443 812350409 0 100 172.8 15504.5 3392845.2 27142761.2 50780.9 50781.7
118 1024 37767 3725460 813230334 0 100 35.0 4013.0 879046.0 7032367.6 313569.4 313570.0
119 1024 37991 3746901 817922904 0 100 223.8 21419.6 4687882.1 37503056.9 47412.3 47413.4
120 1024 38021 3748979 818376990 0 100 30.0 2075.9 453632.4 3629058.9 - -
121 1024 38021 3748979 818376990 0 100 0.0 0.0 0.0 0.0 - -
